ID_CCAA;Comunidad Autónoma;CP;Provincia;Provincias2;Zona_2;codigo_zona_1;Zona_2;codigo_zona_2
1;ANDALUCIA;4;ALMERIA;Almería;Sur;0;Sur;0
1;ANDALUCIA;11;CADIZ;Cádiz;Sur;0;Sur;0
1;ANDALUCIA;14;CORDOBA;Córdoba;Sur;0;Sur;0
1;ANDALUCIA;18;GRANADA;Granada;Sur;0;Sur;0
1;ANDALUCIA;21;HUELVA;Huelva;Sur;0;Sur;0
1;ANDALUCIA;23;JAEN;Jaén;Sur;0;Sur;0
1;ANDALUCIA;29;MALAGA;Málaga;Sur;0;Sur;0
1;ANDALUCIA;41;SEVILLA;Sevilla;Sur;0;Sur;0
2;ARAGON;22;HUESCA;Huesca;Norte;2;Norte;2
2;ARAGON;44;TERUEL;Teruel;Norte;2;Norte;2
2;ARAGON;50;ZARAGOZA;Zaragoza;Norte;2;Norte;2
3;ASTURIAS, PRINCIPADO DE;33;ASTURIAS;Asturias;Norte;2;Norte;2
4;BALEARS, ILLES;7;BALEARS, ILLES;Balears, Illes;Norte;2;Norte;2
5;CANARIAS;35;PALMAS, LAS;Palmas, Las;Sur;0;Sur;0
5;CANARIAS;38;SANTA CRUZ DE TENERIFE;Santa Cruz de Tenerife;Sur;0;Sur;0
6;CANTABRIA;39;CANTABRIA;Cantabria;Norte;2;Norte;2
7;CASTILLA Y LEON;5;AVILA;Ávila;Centro;1;Norte;2
7;CASTILLA Y LEON;9;BURGOS;Burgos;Centro;1;Norte;2
7;CASTILLA Y LEON;24;LEON;León;Centro;1;Norte;2
7;CASTILLA Y LEON;34;PALENCIA;Palencia;Centro;1;Norte;2
7;CASTILLA Y LEON;37;SALAMANCA;Salamanca;Centro;1;Norte;2
7;CASTILLA Y LEON;40;SEGOVIA;Segovia;Centro;1;Norte;2
7;CASTILLA Y LEON;42;SORIA;Soria;Centro;1;Norte;2
7;CASTILLA Y LEON;47;VALLADOLID;Valladolid;Centro;1;Norte;2
7;CASTILLA Y LEON;49;ZAMORA;Zamora;Centro;1;Norte;2
8;CASTILLA-LA MANCHA;2;ALBACETE;Albacete;Centro;1;Sur;0
8;CASTILLA-LA MANCHA;13;CIUDAD REAL;Ciudad Real;Centro;1;Sur;0
8;CASTILLA-LA MANCHA;16;CUENCA;Cuenca;Centro;1;Sur;0
8;CASTILLA-LA MANCHA;19;GUADALAJARA;Guadalajara;Centro;1;Sur;0
8;CASTILLA-LA MANCHA;45;TOLEDO;Toledo;Centro;1;Sur;0
9;CATALUÑA;8;BARCELONA;Barcelona;Norte;2;CAT;1
9;CATALUÑA;17;GIRONA;Girona;Norte;2;CAT;1
9;CATALUÑA;25;LLEIDA;Lleida;Norte;2;CAT;1
9;CATALUÑA;43;TARRAGONA;Tarragona;Norte;2;CAT;1
10;COMUNITAT VALENCIANA;3;ALICANTE/ALACANT;Alicante/Alacant;Centro;1;Sur;0
10;COMUNITAT VALENCIANA;12;CASTELLON/CASTELLO;Castellón/Castelló;Centro;1;Sur;0
10;COMUNITAT VALENCIANA;46;VALENCIA/VALÈNCIA;Valencia/València;Centro;1;Sur;0
11;EXTREMADURA;6;BADAJOZ;Badajoz;Sur;0;Sur;0
11;EXTREMADURA;10;CACERES;Cáceres;Sur;0;Sur;0
12;GALICIA;15;CORUÑA, A;Coruña, A;Norte;2;Norte;2
12;GALICIA;27;LUGO;Lugo;Norte;2;Norte;2
12;GALICIA;32;OURENSE;Ourense;Norte;2;Norte;2
12;GALICIA;36;PONTEVEDRA;Pontevedra;Norte;2;Norte;2
13;MADRID, COMUNIDAD DE;28;MADRID;Madrid;Centro;1;Norte;2
14;MURCIA, REGION DE;30;MURCIA;Murcia;Sur;0;Sur;0
15;NAVARRA, COMUNIDAD FORAL DE;31;NAVARRA;Navarra;Norte;2;Norte;2
16;PAIS VASCO;1;ARABA/ALAVA;Araba/Álava;Norte;2;Norte;2
16;PAIS VASCO;48;BIZKAIA;Bizkaia;Norte;2;Norte;2
16;PAIS VASCO;20;GIPUZKOA;Gipuzkoa;Norte;2;Norte;2
17;RIOJA, LA;26;RIOJA, LA;Rioja, La;Norte;2;Norte;2
18;CEUTA;51;CEUTA;Ceuta;Sur;0;Sur;0
19;MELILLA;52;MELILLA;Melilla;Sur;0;Sur;0
