BBDD;ID_ANYO;EDAD;SEX;POLIZAS;EXPOSICION;SINIESTROS
Ahorro;2008;18;M;41;13,901639344;0
Ahorro;2008;18;V;49;18,092896175;0
Ahorro;2008;19;M;94;49,084699454;0
Ahorro;2008;19;V;118;65,557377049;0
Ahorro;2008;20;M;138;87,112021858;0
Ahorro;2008;20;V;180;113,56284153;0
Ahorro;2008;21;M;177;122,19672131;0
Ahorro;2008;21;V;220;142,14207650;0
Ahorro;2008;22;M;265;168,92896175;0
Ahorro;2008;22;V;270;184,61748634;0
Ahorro;2008;23;M;296;196,80327869;0
Ahorro;2008;23;V;325;226,02459016;0
Ahorro;2008;24;M;379;254,74043716;0
Ahorro;2008;24;V;402;277,68579235;2
Ahorro;2008;25;M;443;320,60382514;0
Ahorro;2008;25;V;469;330,26229508;0
Ahorro;2008;26;M;582;397,86065574;0
Ahorro;2008;26;V;522;361,43442623;0
Ahorro;2008;27;M;627;443,40710383;0
Ahorro;2008;27;V;613;423,07377049;0
Ahorro;2008;28;M;736;516,80874317;0
Ahorro;2008;28;V;634;460,95355191;0
Ahorro;2008;29;M;771;525,79508197;0
Ahorro;2008;29;V;693;471,31693989;0
Ahorro;2008;30;M;847;584,63387978;0
Ahorro;2008;30;V;823;547,21857923;0
Ahorro;2008;31;M;958;651,74316940;0
Ahorro;2008;31;V;960;620,78142077;0
Ahorro;2008;32;M;996;701,92896175;0
Ahorro;2008;32;V;1010;660,16666667;0
Ahorro;2008;33;M;1061;701,46448087;0
Ahorro;2008;33;V;1065;686,24043716;2
Ahorro;2008;34;M;1133;752,96448087;0
Ahorro;2008;34;V;1195;745,88524590;0
Ahorro;2008;35;M;1132;744,33879781;0
Ahorro;2008;35;V;1195;727,70765027;0
Ahorro;2008;36;M;1247;799,22677596;0
Ahorro;2008;36;V;1317;806,15300546;0
Ahorro;2008;37;M;1230;782,89344262;0
Ahorro;2008;37;V;1369;834,94262295;0
Ahorro;2008;38;M;1335;836,59562842;0
Ahorro;2008;38;V;1445;837,35245902;0
Ahorro;2008;39;M;1407;880,21038251;0
Ahorro;2008;39;V;1507;873,39617486;0
Ahorro;2008;40;M;1520;922,15027322;0
Ahorro;2008;40;V;1556;883,09289617;1
Ahorro;2008;41;M;1601;967,72404372;1
Ahorro;2008;41;V;1628;904,01912568;0
Ahorro;2008;42;M;1584;969,14480874;0
Ahorro;2008;42;V;1663;891,54918033;0
Ahorro;2008;43;M;1700;1000,0519126;0
Ahorro;2008;43;V;1755;969,19945355;0
Ahorro;2008;44;M;1706;1018,3142077;0
Ahorro;2008;44;V;1841;1006,1393443;1
Ahorro;2008;45;M;1630;970,17759563;0
Ahorro;2008;45;V;1942;1098,7622951;1
Ahorro;2008;46;M;1724;1001,9289617;1
Ahorro;2008;46;V;1990;1066,7622951;1
Ahorro;2008;47;M;1737;998,21857923;0
Ahorro;2008;47;V;1958;1058,3442623;0
Ahorro;2008;48;M;1765;990,82513661;1
Ahorro;2008;48;V;2045;1091,4207650;0
Ahorro;2008;49;M;1891;1028,4480874;1
